QueryDate,QueryHour,NeededTimeMilliSec,ResponseLength,Query
2018-11-14,11:20:44:1651,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008812062&from=http://irail.be/stations/NMBS/008812005&date=011218&time=1504&timeSel=depart
2018-11-14,11:20:44:1651,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008813003&from=http://irail.be/stations/NMBS/008892007&date=021218&time=0715&timeSel=depart
2018-11-14,11:20:44:1651,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008821121&from=http://irail.be/stations/NMBS/008812005&date=011218&time=1645&timeSel=depart
2018-11-14,11:20:44:1651,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008821121&from=http://irail.be/stations/NMBS/008894508&date=011218&time=1456&timeSel=depart
2018-11-14,11:20:44:1651,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008833001&from=http://irail.be/stations/NMBS/008814001&date=011218&time=1601&timeSel=depart
2018-11-14,11:20:44:1651,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008891124&from=http://irail.be/stations/NMBS/008892007&date=011218&time=1601&timeSel=depart
2018-11-14,11:20:44:1651,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008892007&from=http://irail.be/stations/NMBS/008894508&date=011218&time=0530&timeSel=depart
2018-11-14,11:20:44:1651,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008895760&from=http://irail.be/stations/NMBS/008812005&date=011218&time=1555&timeSel=depart
2018-11-14,11:20:44:1652,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008814431&from=http://irail.be/stations/NMBS/008814456&date=011218&time=1552&timeSel=depart
2018-11-14,11:20:44:1652,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008822004&from=http://irail.be/stations/NMBS/008812005&date=011218&time=1553&timeSel=depart
2018-11-14,11:20:44:1652,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008892007&from=http://irail.be/stations/NMBS/008891009&date=011218&time=1453&timeSel=depart
2018-11-14,11:20:44:1652,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008892304&from=http://irail.be/stations/NMBS/008896909&date=011218&time=1530&timeSel=depart
2018-11-14,11:20:45:1596,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008883006&from=http://irail.be/stations/NMBS/008813003&date=011218&time=1556&timeSel=depart
2018-11-14,11:20:46:1603,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008814001&from=http://irail.be/stations/NMBS/008883006&date=011218&time=1457&timeSel=depart
2018-11-14,11:20:47:1610,59007,5937,https://irail.be/route?to=http://irail.be/stations/NMBS/008883311&from=http://irail.be/stations/NMBS/008812005&date=011218&time=1557&timeSel=depart
2018-11-14,11:20:48:1616,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008814001&from=http://irail.be/stations/NMBS/008833001&date=021218&time=1647&timeSel=depart
2018-11-14,11:20:49:1622,58587,9323,https://irail.be/route?to=http://irail.be/stations/NMBS/008813003&from=http://irail.be/stations/NMBS/008833001&date=011218&time=1457&timeSel=depart
2018-11-14,11:20:50:1628,58095,6087,https://irail.be/route?to=http://irail.be/stations/NMBS/008813003&from=http://irail.be/stations/NMBS/008892007&date=021218&time=0808&timeSel=depart
2018-11-14,11:20:51:1633,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008812146&from=http://irail.be/stations/NMBS/008813003&date=011218&time=1457&timeSel=depart
2018-11-14,11:20:52:1638,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008821717&from=http://irail.be/stations/NMBS/008821006&date=011218&time=1457&timeSel=depart
2018-11-14,11:20:53:1645,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008896008&from=http://irail.be/stations/NMBS/008892007&date=051218&time=0657&timeSel=depart
2018-11-14,11:20:54:1649,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008811130&from=http://irail.be/stations/NMBS/008812005&date=011218&time=1553&timeSel=depart
2018-11-14,11:20:55:1654,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008896008&from=http://irail.be/stations/NMBS/008892007&date=051218&time=0557&timeSel=depart
2018-11-14,11:20:56:1662,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008812047&from=http://irail.be/stations/NMBS/008812120&date=011218&time=1458&timeSel=depart
2018-11-14,11:20:57:1668,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008833001&from=http://irail.be/stations/NMBS/008821519&date=011218&time=1458&timeSel=depart
2018-11-14,11:20:58:1676,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008814209&from=http://irail.be/stations/NMBS/008872009&date=011218&time=1458&timeSel=depart
2018-11-14,11:20:59:1682,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008883113&from=http://irail.be/stations/NMBS/008812005&date=011218&time=1608&timeSel=depart
2018-11-14,11:21:00:1893,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008883113&from=http://irail.be/stations/NMBS/008812005&date=011218&time=1448&timeSel=depart
2018-11-14,11:21:01:1903,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008892007&from=http://irail.be/stations/NMBS/008812005&date=011218&time=1458&timeSel=depart
2018-11-14,11:21:02:1908,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008883113&from=http://irail.be/stations/NMBS/008813003&date=011218&time=1458&timeSel=depart
2018-11-14,11:21:03:1915,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008883808&from=http://irail.be/stations/NMBS/008813003&date=011218&time=0536&timeSel=depart
2018-11-14,11:21:04:1924,43349,9614,https://irail.be/route?to=http://irail.be/stations/NMBS/008895802&from=http://irail.be/stations/NMBS/008812005&date=011218&time=1555&timeSel=depart
2018-11-14,11:21:05:1934,40448,6375,https://irail.be/route?to=http://irail.be/stations/NMBS/008813003&from=http://irail.be/stations/NMBS/008814134&date=011218&time=1558&timeSel=depart
2018-11-14,11:21:06:1944,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008841400&from=http://irail.be/stations/NMBS/008841004&date=011218&time=1558&timeSel=depart
2018-11-14,11:21:07:1952,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008841558&from=http://irail.be/stations/NMBS/008841004&date=011218&time=1558&timeSel=depart
2018-11-14,11:21:08:1960,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008813003&from=http://irail.be/stations/NMBS/008831005&date=011218&time=1556&timeSel=depart
2018-11-14,11:21:09:1968,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008863008&from=http://irail.be/stations/NMBS/008841004&date=011218&time=1458&timeSel=depart
2018-11-14,11:21:10:1969,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008883808&from=http://irail.be/stations/NMBS/008813003&date=011218&time=1458&timeSel=depart
2018-11-14,11:21:10:6971,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008831005&from=http://irail.be/stations/NMBS/008813003&date=011218&time=1556&timeSel=depart
2018-11-14,11:21:11:6975,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008812120&from=http://irail.be/stations/NMBS/008812047&date=011218&time=1458&timeSel=depart
2018-11-14,11:21:12:6979,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008813003&from=http://irail.be/stations/NMBS/008812005&date=011218&time=1605&timeSel=depart
2018-11-14,11:21:13:7119,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008831005&from=http://irail.be/stations/NMBS/008813003&date=011218&time=1557&timeSel=depart
2018-11-14,11:21:14:7174,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008865300&from=http://irail.be/stations/NMBS/008863115&date=011218&time=1458&timeSel=depart
2018-11-14,11:21:15:7118,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008813003&from=http://irail.be/stations/NMBS/008831005&date=011218&time=1557&timeSel=depart
2018-11-14,11:21:16:7123,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008821634&from=http://irail.be/stations/NMBS/008821006&date=011218&time=1458&timeSel=depart
2018-11-14,11:21:17:7130,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008866845&from=http://irail.be/stations/NMBS/008865003&date=011218&time=1458&timeSel=depart
2018-11-14,11:21:18:7135,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008813003&from=http://irail.be/stations/NMBS/008892007&date=021218&time=0715&timeSel=depart
2018-11-14,11:21:19:7140,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008891009&from=http://irail.be/stations/NMBS/008892007&date=011218&time=1558&timeSel=depart
2018-11-14,11:21:20:7146,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008885001&from=http://irail.be/stations/NMBS/008881000&date=011218&time=1558&timeSel=depart
2018-11-14,11:21:21:7150,0,ERROR The remote server returned an error: (500) Internal Server Error.,https://irail.be/route?to=http://irail.be/stations/NMBS/008896800&from=http://irail.be/stations/NMBS/008896115&date=290915&time=1715&timeSel=depart
2018-11-14,11:21:22:7156,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008811007&from=http://irail.be/stations/NMBS/008812005&date=011218&time=1558&timeSel=depart
2018-11-14,11:21:23:7165,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008844503&from=http://irail.be/stations/NMBS/008841004&date=011218&time=1459&timeSel=depart
2018-11-14,11:21:24:7171,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008863008&from=http://irail.be/stations/NMBS/008813003&date=011218&time=1459&timeSel=depart
2018-11-14,11:21:25:7177,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008813003&from=http://irail.be/stations/NMBS/008871308&date=011218&time=1559&timeSel=depart
2018-11-14,11:21:26:7184,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008883006&from=http://irail.be/stations/NMBS/008814001&date=011218&time=1559&timeSel=depart
2018-11-14,11:21:27:7193,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008895869&from=http://irail.be/stations/NMBS/008813003&date=011218&time=1609&timeSel=depart
2018-11-14,11:21:28:7200,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008895869&from=http://irail.be/stations/NMBS/008813003&date=011218&time=1442&timeSel=depart
2018-11-14,11:21:29:7207,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008883006&from=http://irail.be/stations/NMBS/008814001&date=011218&time=1559&timeSel=depart
2018-11-14,11:21:30:7218,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008813003&from=http://irail.be/stations/NMBS/008871365&date=011218&time=1559&timeSel=depart
2018-11-14,11:21:31:7227,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008821006&from=http://irail.be/stations/NMBS/008813003&date=011218&time=1459&timeSel=depart
2018-11-14,11:21:32:7235,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008884004&from=http://irail.be/stations/NMBS/008885704&date=011218&time=1459&timeSel=depart
2018-11-14,11:21:33:7241,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008896115&from=http://irail.be/stations/NMBS/008892007&date=011218&time=1459&timeSel=depart
2018-11-14,11:21:34:7248,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008813003&from=http://irail.be/stations/NMBS/008892007&date=021218&time=0808&timeSel=depart
2018-11-14,11:21:35:7256,0,ERROR The remote server returned an error: (503) Service Temporarily Unavailable.,https://irail.be/route?to=http://irail.be/stations/NMBS/008861150&from=http://irail.be/stations/NMBS/008863008&date=011218&time=1559&timeSel=depart
2018-11-14,11:21:36:7259,9994,5691,https://irail.be/route?to=http://irail.be/stations/NMBS/008821634&from=http://irail.be/stations/NMBS/008821006&date=011218&time=1459&timeSel=depart
